NumIntervals,NumThreads,IntegralValue,ExecutionTime
100000000,5,0.815986,0.985699
100000000,6,0.815986,0.902937
100000000,7,0.815986,0.949608
100000000,8,0.815986,0.910068
100000000,9,0.815986,0.805609
100000000,10,0.815986,0.80444
100000000,11,0.815986,0.794574
100000000,12,0.815986,0.670569
100000000,13,0.815986,0.668903
100000000,14,0.815986,0.675654
100000000,15,0.815986,0.656544
100000000,16,0.815986,0.734811
100000000,17,0.815986,0.79669
100000000,18,0.815986,0.590712
100000000,24,0.815986,0.946887
100000000,30,0.815986,0.650181
100000000,36,0.815986,0.615413
100000000,48,0.815986,0.683125
100000000,60,0.815986,0.697052
100000000,90,0.815986,0.765107
100000000,120,0.815986,0.75994
100000000,144,0.815986,0.666246
1000000000,1,0.815986,47.3247
1000000000,2,0.815986,23.2756
1000000000,3,0.815986,17.1369
1000000000,4,0.815986,12.7266
1000000000,5,0.815986,10.1607
1000000000,6,0.815986,8.57357
1000000000,7,0.815986,7.75676
1000000000,8,0.815986,7.92533
1000000000,9,0.815986,8.26081
1000000000,10,0.815986,7.79771
1000000000,11,0.815986,7.94108
1000000000,12,0.815986,7.67424
1000000000,13,0.815986,7.62146
1000000000,14,0.815986,6.04619
1000000000,15,0.815986,7.20563
1000000000,16,0.815986,6.90229
1000000000,17,0.815986,7.24383
1000000000,18,0.815986,7.65298
1000000000,24,0.815986,6.70798
1000000000,30,0.815986,6.56566
1000000000,36,0.815986,6.38809
1000000000,48,0.815986,6.61366
1000000000,60,0.815986,5.07989
1000000000,90,0.815986,5.24762
1000000000,120,0.815986,5.06553
1000000000,144,0.815986,4.88251
