NumIntervals,NumThreads,IntegralValue,ExecutionTime
1000,1,0.80487,7.84e-05
1000,2,0.80487,0.0005429
1000,3,0.80487,0.0002406
1000,4,0.80487,0.0002164
1000,5,0.80487,0.0002582
1000,6,0.80487,0.0002032
1000,7,0.80487,0.0002216
1000,8,0.80487,0.000209
1000,9,0.80487,0.0002687
1000,10,0.80487,0.0002524
1000,11,0.80487,0.0001975
1000,12,0.80487,0.0002614
1000,13,0.80487,0.0001956
1000,14,0.80487,0.0003125
1000,15,0.80487,0.0002192
1000,16,0.80487,0.0001871
1000,17,0.80487,0.0002417
1000,18,0.80487,0.0002437
1000,24,0.80487,0.0004295
1000,30,0.80487,0.0004875
1000,36,0.80487,0.0004487
1000,48,0.80487,0.0008211
1000,60,0.80487,0.0009412
1000,90,0.80487,0.0019884
1000,120,0.80487,0.0018407
1000,144,0.80487,0.0016952
10000,1,0.814901,0.0004769
10000,2,0.814901,0.0036752
10000,3,0.814901,0.0006235
10000,4,0.814901,0.0003796
10000,5,0.814901,0.000268
10000,6,0.814901,0.0002992
10000,7,0.814901,0.0003147
10000,8,0.814901,0.0002974
10000,9,0.814901,0.0002664
10000,10,0.814901,0.0003073
10000,11,0.814901,0.0002986
10000,12,0.814901,0.0003275
10000,13,0.814901,0.0003525
10000,14,0.814901,0.0002752
10000,15,0.814901,0.0002715
10000,16,0.814901,0.0002455
10000,17,0.814901,0.0004509
10000,18,0.814901,0.0004122
10000,24,0.814901,0.0005223
10000,30,0.814901,0.0005441
10000,36,0.814901,0.0005382
10000,48,0.814901,0.0010652
10000,60,0.814901,0.0014423
10000,90,0.814901,0.0039318
10000,120,0.814901,0.0074554
10000,144,0.814901,0.0151411
100000,1,0.815878,0.0048704
100000,2,0.815878,0.0057873
100000,3,0.815878,0.0039039
100000,4,0.815878,0.0018592
100000,5,0.815878,0.0023303
100000,6,0.815878,0.0018688
100000,7,0.815878,0.0018417
100000,8,0.815878,0.001931
100000,9,0.815878,0.0015643
100000,10,0.815878,0.0016212
100000,11,0.815878,0.0015573
100000,12,0.815878,0.0014682
100000,13,0.815878,0.001545
100000,14,0.815878,0.0014084
100000,15,0.815878,0.0028511
100000,16,0.815878,0.0021218
100000,17,0.815878,0.0020064
100000,18,0.815878,0.0017995
100000,24,0.815878,0.0018073
100000,30,0.815878,0.0018767
100000,36,0.815878,0.0018039
100000,48,0.815878,0.0028667
100000,60,0.815878,0.00203
